customer_id,cohort_month,tier,acquisition_channel,signup_date
75,2023-10-01,Basic,Social,2023-10-03
76,2023-01-01,Basic,Social,2023-01-04
77,2023-03-01,Pro,Paid,2023-03-05
78,2023-12-01,Enterprise,Referral,2023-12-12
79,2023-10-01,Basic,Referral,2023-10-23
80,2023-10-01,Pro,Social,2023-10-21
81,2024-05-01,Basic,Referral,2024-05-10
82,2023-04-01,Enterprise,Organic,2023-04-04
83,2023-04-01,Pro,Organic,2023-04-10
84,2023-07-01,Pro,Organic,2023-07-21
85,2023-09-01,Pro,Organic,2023-09-28
86,2023-02-01,Basic,Paid,2023-02-09
87,2023-02-01,Basic,Referral,2023-02-21
88,2023-09-01,Basic,Paid,2023-09-23
89,2024-02-01,Pro,Organic,2024-02-29
90,2023-05-01,Pro,Referral,2023-05-19
91,2024-06-01,Basic,Organic,2024-06-10
92,2023-12-01,Enterprise,Referral,2023-12-28
93,2023-02-01,Enterprise,Organic,2023-02-08
94,2023-04-01,Basic,Paid,2023-04-28
95,2024-02-01,Enterprise,Referral,2024-02-08
96,2023-06-01,Enterprise,Referral,2023-06-29
97,2024-02-01,Basic,Referral,2024-02-11
98,2024-02-01,Pro,Referral,2024-02-26
99,2023-08-01,Basic,Referral,2023-08-04
100,2024-01-01,Enterprise,Referral,2024-01-08
101,2023-07-01,Pro,Paid,2023-07-10
102,2023-08-01,Basic,Paid,2023-08-13
103,2023-11-01,Basic,Organic,2023-11-25
104,2023-09-01,Basic,Paid,2023-09-22
105,2024-06-01,Basic,Organic,2024-06-29
106,2023-09-01,Basic,Social,2023-09-09
107,2023-02-01,Basic,Paid,2023-02-24
108,2023-11-01,Basic,Social,2023-11-04
109,2024-01-01,Enterprise,Organic,2024-01-02
110,2024-02-01,Basic,Social,2024-02-18
111,2023-07-01,Basic,Organic,2023-07-22
112,2023-11-01,Pro,Paid,2023-11-04
113,2023-10-01,Pro,Paid,2023-10-11
114,2024-01-01,Pro,Paid,2024-01-07
115,2024-02-01,Pro,Paid,2024-02-24
116,2023-06-01,Pro,Paid,2023-06-18
117,2023-01-01,Basic,Organic,2023-01-26
118,2023-11-01,Basic,Paid,2023-11-07
119,2024-05-01,Basic,Social,2024-05-26
120,2023-06-01,Pro,Organic,2023-06-22
121,2023-11-01,Basic,Social,2023-11-08
122,2023-10-01,Basic,Organic,2023-10-01
123,2023-02-01,Basic,Paid,2023-02-28
124,2023-03-01,Basic,Referral,2023-03-19
125,2023-07-01,Pro,Paid,2023-07-13
126,2023-08-01,Basic,Paid,2023-08-29
127,2023-04-01,Pro,Organic,2023-04-26
128,2024-05-01,Basic,Paid,2024-05-28
129,2023-04-01,Basic,Referral,2023-04-22
130,2024-05-01,Enterprise,Paid,2024-05-25
131,2024-03-01,Pro,Referral,2024-03-17
132,2024-02-01,Pro,Paid,2024-02-29
133,2023-06-01,Pro,Paid,2023-06-09
134,2023-08-01,Pro,Organic,2023-08-25
135,2024-05-01,Basic,Organic,2024-05-15
136,2023-03-01,Pro,Organic,2023-03-11
137,2023-11-01,Enterprise,Organic,2023-11-05
138,2023-08-01,Basic,Organic,2023-08-07
139,2023-03-01,Basic,Paid,2023-03-15
140,2024-02-01,Basic,Referral,2024-02-13
141,2023-01-01,Enterprise,Referral,2023-01-13
142,2024-04-01,Basic,Paid,2024-04-25
143,2024-01-01,Enterprise,Social,2024-01-14
144,2024-06-01,Pro,Paid,2024-06-20
145,2023-08-01,Basic,Organic,2023-08-16
146,2023-01-01,Basic,Paid,2023-01-26
147,2024-01-01,Pro,Referral,2024-01-05
148,2024-06-01,Basic,Paid,2024-06-19
149,2023-01-01,Basic,Paid,2023-01-28
150,2024-03-01,Basic,Organic,2024-03-11
151,2023-07-01,Basic,Paid,2023-07-29
152,2024-01-01,Basic,Social,2024-01-14
153,2023-09-01,Pro,Paid,2023-09-24
154,2024-06-01,Basic,Social,2024-06-08
155,2023-03-01,Pro,Paid,2023-03-25
156,2023-01-01,Enterprise,Organic,2023-01-01
157,2023-05-01,Basic,Paid,2023-05-04
158,2023-07-01,Basic,Organic,2023-07-12
159,2023-06-01,Pro,Social,2023-06-23
160,2023-04-01,Pro,Organic,2023-04-10
161,2023-04-01,Pro,Social,2023-04-19
162,2024-01-01,Basic,Referral,2024-01-03
163,2023-08-01,Basic,Referral,2023-08-28
164,2023-04-01,Pro,Paid,2023-04-02
165,2023-12-01,Pro,Paid,2023-12-03
166,2024-05-01,Pro,Organic,2024-05-14
167,2024-04-01,Basic,Social,2024-04-21
168,2024-03-01,Pro,Paid,2024-03-24
169,2024-05-01,Enterprise,Organic,2024-05-26
170,2024-06-01,Pro,Paid,2024-06-27
171,2023-09-01,Basic,Organic,2023-09-03
172,2023-09-01,Enterprise,Organic,2023-09-15
173,2024-01-01,Basic,Paid,2024-01-11
174,2023-06-01,Basic,Paid,2023-06-09
175,2023-11-01,Basic,Paid,2023-11-29
176,2023-09-01,Pro,Paid,2023-09-07
177,2023-03-01,Basic,Paid,2023-03-18
178,2023-08-01,Pro,Paid,2023-08-16
179,2024-03-01,Pro,Organic,2024-03-08
180,2024-01-01,Pro,Paid,2024-01-19
181,2023-12-01,Basic,Paid,2023-12-14
182,2024-06-01,Basic,Referral,2024-06-09
183,2023-10-01,Basic,Organic,2023-10-07
184,2023-11-01,Basic,Paid,2023-11-25
185,2023-06-01,Basic,Referral,2023-06-09
186,2024-05-01,Pro,Social,2024-05-27
187,2023-07-01,Basic,Paid,2023-07-10
188,2023-01-01,Pro,Organic,2023-01-02
189,2023-02-01,Pro,Paid,2023-02-05
190,2024-04-01,Basic,Organic,2024-04-10
191,2024-04-01,Basic,Paid,2024-04-02
192,2023-09-01,Enterprise,Paid,2023-09-27
193,2023-03-01,Basic,Organic,2023-03-21
194,2023-02-01,Basic,Referral,2023-02-10
195,2023-03-01,Enterprise,Organic,2023-03-25
196,2024-02-01,Pro,Referral,2024-02-08
197,2024-05-01,Basic,Social,2024-05-10
198,2024-02-01,Basic,Paid,2024-02-20
199,2023-04-01,Enterprise,Organic,2023-04-07
200,2023-09-01,Pro,Organic,2023-09-06
201,2024-06-01,Basic,Organic,2024-06-15
202,2024-04-01,Basic,Organic,2024-04-23
203,2023-10-01,Pro,Paid,2023-10-22
204,2023-08-01,Enterprise,Referral,2023-08-21
205,2023-07-01,Basic,Paid,2023-07-21
206,2023-05-01,Enterprise,Referral,2023-05-03
207,2023-02-01,Basic,Paid,2023-02-24
208,2023-10-01,Basic,Paid,2023-10-10
209,2024-01-01,Enterprise,Paid,2024-01-16
210,2024-03-01,Basic,Organic,2024-03-14
211,2023-11-01,Pro,Organic,2023-11-08
212,2023-01-01,Enterprise,Paid,2023-01-09
213,2023-02-01,Pro,Organic,2023-02-17
214,2024-03-01,Enterprise,Organic,2024-03-19
215,2024-02-01,Pro,Paid,2024-02-03
216,2024-04-01,Basic,Paid,2024-04-22
217,2023-04-01,Enterprise,Paid,2023-04-23
218,2024-04-01,Basic,Social,2024-04-27
219,2024-06-01,Basic,Organic,2024-06-09
220,2023-11-01,Basic,Referral,2023-11-28
221,2024-05-01,Pro,Organic,2024-05-28
222,2024-06-01,Basic,Organic,2024-06-17
223,2023-12-01,Pro,Paid,2023-12-15
224,2023-02-01,Basic,Paid,2023-02-10
225,2024-03-01,Enterprise,Paid,2024-03-01
226,2023-08-01,Pro,Paid,2023-08-01
227,2024-06-01,Basic,Organic,2024-06-27
228,2023-04-01,Basic,Organic,2023-04-27
229,2023-05-01,Basic,Referral,2023-05-17
230,2023-09-01,Basic,Paid,2023-09-16
231,2023-08-01,Basic,Organic,2023-08-07
232,2024-05-01,Pro,Organic,2024-05-03
233,2023-09-01,Pro,Referral,2023-09-11
234,2024-05-01,Basic,Organic,2024-05-24
235,2023-10-01,Pro,Paid,2023-10-22
236,2024-04-01,Enterprise,Paid,2024-04-16
237,2023-12-01,Basic,Referral,2023-12-13
238,2024-03-01,Enterprise,Referral,2024-03-23
239,2023-08-01,Pro,Organic,2023-08-25
240,2024-02-01,Basic,Referral,2024-02-23
241,2024-01-01,Basic,Paid,2024-01-27
242,2023-05-01,Basic,Organic,2023-05-17
243,2023-11-01,Enterprise,Referral,2023-11-15
244,2023-04-01,Pro,Paid,2023-04-24
245,2023-05-01,Basic,Paid,2023-05-05
246,2023-03-01,Basic,Social,2023-03-11
247,2024-01-01,Pro,Referral,2024-01-28
248,2024-06-01,Basic,Paid,2024-06-23
249,2024-04-01,Enterprise,Organic,2024-04-03
250,2023-08-01,Pro,Social,2023-08-08
251,2023-03-01,Basic,Organic,2023-03-21
252,2023-04-01,Basic,Paid,2023-04-29
253,2023-01-01,Basic,Referral,2023-01-10
254,2023-12-01,Basic,Organic,2023-12-17
255,2024-02-01,Pro,Referral,2024-02-06
256,2023-06-01,Basic,Referral,2023-06-20
257,2023-08-01,Basic,Paid,2023-08-08
258,2024-03-01,Pro,Paid,2024-03-22
259,2023-01-01,Enterprise,Paid,2023-01-10
260,2024-06-01,Basic,Paid,2024-06-12
261,2023-10-01,Pro,Paid,2023-10-09
262,2024-03-01,Pro,Organic,2024-03-13
263,2024-04-01,Basic,Paid,2024-04-12
264,2023-10-01,Enterprise,Organic,2023-10-27
265,2024-01-01,Basic,Paid,2024-01-22
266,2023-02-01,Enterprise,Referral,2023-02-27
267,2023-10-01,Pro,Organic,2023-10-26
268,2023-12-01,Basic,Organic,2023-12-09
269,2023-05-01,Pro,Social,2023-05-21
270,2023-02-01,Basic,Paid,2023-02-19
271,2023-12-01,Pro,Organic,2023-12-10
272,2023-11-01,Pro,Organic,2023-11-05
273,2024-06-01,Enterprise,Paid,2024-06-17
274,2023-09-01,Pro,Organic,2023-09-27
275,2024-04-01,Enterprise,Organic,2024-04-28
276,2023-11-01,Pro,Paid,2023-11-03
277,2023-05-01,Pro,Organic,2023-05-22
278,2024-01-01,Enterprise,Referral,2024-01-12
279,2023-03-01,Pro,Organic,2023-03-18
280,2023-04-01,Basic,Paid,2023-04-22
281,2023-09-01,Pro,Referral,2023-09-12
282,2023-04-01,Pro,Paid,2023-04-20
283,2024-06-01,Basic,Paid,2024-06-21
284,2023-03-01,Pro,Paid,2023-03-23
285,2023-10-01,Pro,Organic,2023-10-02
286,2023-02-01,Basic,Paid,2023-02-04
287,2023-08-01,Enterprise,Organic,2023-08-15
288,2023-12-01,Pro,Referral,2023-12-18
289,2024-02-01,Pro,Referral,2024-02-29
290,2024-02-01,Pro,Referral,2024-02-20
291,2024-02-01,Enterprise,Organic,2024-02-23
292,2023-12-01,Basic,Paid,2023-12-08
293,2023-12-01,Basic,Paid,2023-12-18
294,2023-12-01,Basic,Organic,2023-12-04
295,2024-03-01,Basic,Organic,2024-03-21
296,2023-01-01,Basic,Paid,2023-01-05
297,2023-07-01,Basic,Referral,2023-07-07
298,2023-07-01,Pro,Organic,2023-07-25
299,2023-05-01,Pro,Paid,2023-05-09
300,2023-05-01,Enterprise,Paid,2023-05-26
301,2023-06-01,Basic,Referral,2023-06-05
302,2023-01-01,Basic,Referral,2023-01-19
303,2023-11-01,Basic,Organic,2023-11-05
304,2024-02-01,Pro,Referral,2024-02-16
305,2024-03-01,Pro,Paid,2024-03-04
306,2024-03-01,Pro,Social,2024-03-02
307,2024-05-01,Basic,Paid,2024-05-01
308,2023-02-01,Enterprise,Referral,2023-02-14
309,2023-04-01,Basic,Social,2023-04-03
310,2023-03-01,Basic,Organic,2023-03-05
311,2023-09-01,Pro,Paid,2023-09-23
312,2023-11-01,Basic,Paid,2023-11-10
313,2024-03-01,Pro,Paid,2024-03-26
314,2023-04-01,Enterprise,Paid,2023-04-25
315,2024-06-01,Pro,Organic,2024-06-15
316,2023-08-01,Basic,Referral,2023-08-13
317,2024-02-01,Pro,Paid,2024-02-11
318,2023-09-01,Basic,Organic,2023-09-16
319,2023-03-01,Basic,Organic,2023-03-14
320,2023-04-01,Pro,Paid,2023-04-05
321,2024-06-01,Basic,Social,2024-06-18
322,2023-11-01,Pro,Paid,2023-11-28
323,2024-02-01,Enterprise,Referral,2024-02-10
324,2023-10-01,Basic,Paid,2023-10-07
325,2023-05-01,Pro,Organic,2023-05-04
326,2023-12-01,Pro,Paid,2023-12-25
327,2023-09-01,Pro,Referral,2023-09-28
328,2024-06-01,Enterprise,Referral,2024-06-20
329,2024-06-01,Basic,Social,2024-06-27
330,2023-09-01,Basic,Organic,2023-09-25
331,2023-10-01,Enterprise,Paid,2023-10-06
332,2023-05-01,Pro,Paid,2023-05-05
333,2023-01-01,Basic,Paid,2023-01-13
334,2024-02-01,Basic,Organic,2024-02-10
335,2023-11-01,Pro,Paid,2023-11-03
336,2023-02-01,Basic,Referral,2023-02-02
337,2023-03-01,Basic,Paid,2023-03-16
338,2024-03-01,Basic,Organic,2024-03-17
339,2023-04-01,Basic,Organic,2023-04-22
340,2024-04-01,Pro,Paid,2024-04-08
341,2024-01-01,Enterprise,Organic,2024-01-07
342,2023-10-01,Enterprise,Referral,2023-10-25
343,2023-09-01,Basic,Organic,2023-09-16
344,2024-02-01,Basic,Paid,2024-02-23
345,2023-08-01,Pro,Referral,2023-08-26
346,2023-12-01,Basic,Referral,2023-12-02
347,2024-02-01,Basic,Social,2024-02-28
348,2023-11-01,Pro,Paid,2023-11-23
349,2024-02-01,Basic,Paid,2024-02-11
350,2023-06-01,Pro,Paid,2023-06-27
351,2023-12-01,Basic,Referral,2023-12-08
352,2024-02-01,Pro,Paid,2024-02-13
353,2023-10-01,Pro,Organic,2023-10-25
354,2023-06-01,Basic,Paid,2023-06-17
355,2024-05-01,Basic,Referral,2024-05-12
356,2023-05-01,Basic,Organic,2023-05-07
357,2023-06-01,Pro,Referral,2023-06-21
358,2023-03-01,Basic,Referral,2023-03-16
359,2024-03-01,Pro,Referral,2024-03-15
360,2023-11-01,Enterprise,Paid,2023-11-05
361,2024-03-01,Basic,Paid,2024-03-10
362,2023-09-01,Pro,Paid,2023-09-03
363,2023-10-01,Basic,Organic,2023-10-12
364,2023-10-01,Basic,Referral,2023-10-28
365,2023-03-01,Pro,Paid,2023-03-15
366,2024-06-01,Enterprise,Referral,2024-06-02
367,2024-03-01,Enterprise,Paid,2024-03-07
368,2023-11-01,Pro,Paid,2023-11-02
369,2024-03-01,Basic,Referral,2024-03-11
370,2023-03-01,Pro,Organic,2023-03-08
371,2024-03-01,Enterprise,Paid,2024-03-20
372,2023-06-01,Basic,Social,2023-06-13
373,2024-02-01,Pro,Paid,2024-02-02
374,2023-11-01,Basic,Organic,2023-11-22
375,2024-01-01,Basic,Referral,2024-01-22
376,2023-05-01,Basic,Paid,2023-05-05
377,2023-12-01,Basic,Paid,2023-12-22
378,2024-01-01,Basic,Referral,2024-01-03
379,2023-10-01,Pro,Paid,2023-10-11
380,2023-05-01,Pro,Referral,2023-05-24
381,2024-05-01,Basic,Paid,2024-05-17
382,2023-12-01,Basic,Paid,2023-12-07
383,2023-11-01,Enterprise,Paid,2023-11-08
384,2023-05-01,Basic,Organic,2023-05-26
385,2023-04-01,Pro,Paid,2023-04-24
386,2024-05-01,Basic,Paid,2024-05-25
387,2023-05-01,Pro,Organic,2023-05-06
388,2023-06-01,Pro,Organic,2023-06-12
389,2023-08-01,Enterprise,Paid,2023-08-25
390,2024-03-01,Basic,Organic,2024-03-26
391,2024-04-01,Enterprise,Organic,2024-04-22
392,2024-03-01,Basic,Organic,2024-03-13
393,2024-05-01,Pro,Social,2024-05-27
394,2023-07-01,Pro,Organic,2023-07-09
395,2023-02-01,Pro,Referral,2023-02-18
396,2023-04-01,Pro,Paid,2023-04-04
397,2023-10-01,Basic,Organic,2023-10-15
398,2024-05-01,Basic,Paid,2024-05-08
399,2024-03-01,Enterprise,Social,2024-03-14
400,2023-02-01,Basic,Paid,2023-02-13
401,2023-03-01,Basic,Organic,2023-03-04
402,2023-11-01,Pro,Organic,2023-11-10
403,2024-04-01,Pro,Organic,2024-04-23
404,2024-04-01,Basic,Organic,2024-04-03
405,2023-01-01,Basic,Referral,2023-01-18
406,2024-05-01,Basic,Referral,2024-05-08
407,2023-10-01,Basic,Organic,2023-10-21
408,2024-03-01,Basic,Referral,2024-03-16
409,2024-06-01,Basic,Paid,2024-06-08
410,2023-05-01,Basic,Organic,2023-05-12
411,2023-08-01,Pro,Organic,2023-08-22
412,2023-03-01,Pro,Paid,2023-03-17
413,2024-06-01,Pro,Social,2024-06-18
414,2023-01-01,Basic,Paid,2023-01-21
415,2024-01-01,Enterprise,Organic,2024-01-01
416,2023-12-01,Pro,Paid,2023-12-24
417,2023-04-01,Pro,Referral,2023-04-11
418,2023-05-01,Basic,Paid,2023-05-27
419,2023-06-01,Pro,Paid,2023-06-23
420,2024-04-01,Pro,Referral,2024-04-03
421,2024-03-01,Basic,Organic,2024-03-26
422,2023-07-01,Enterprise,Paid,2023-07-10
423,2024-05-01,Basic,Referral,2024-05-16
424,2023-09-01,Basic,Paid,2023-09-10
425,2023-12-01,Enterprise,Organic,2023-12-21
426,2023-11-01,Basic,Referral,2023-11-14
427,2024-01-01,Pro,Referral,2024-01-13
428,2023-11-01,Enterprise,Paid,2023-11-16
429,2023-12-01,Enterprise,Paid,2023-12-26
430,2023-03-01,Pro,Organic,2023-03-20
431,2023-06-01,Pro,Paid,2023-06-03
432,2023-11-01,Pro,Paid,2023-11-20
433,2024-02-01,Basic,Paid,2024-02-15
434,2023-02-01,Pro,Social,2023-02-20
435,2024-02-01,Basic,Social,2024-02-02
436,2023-03-01,Pro,Paid,2023-03-17
437,2023-06-01,Enterprise,Organic,2023-06-20
438,2024-03-01,Basic,Organic,2024-03-25
439,2023-12-01,Basic,Social,2023-12-02
440,2023-05-01,Pro,Social,2023-05-12
441,2024-03-01,Pro,Paid,2024-03-17
442,2023-12-01,Basic,Paid,2023-12-08
443,2023-04-01,Basic,Organic,2023-04-17
444,2024-01-01,Enterprise,Organic,2024-01-25
445,2023-09-01,Pro,Organic,2023-09-20
446,2023-10-01,Pro,Social,2023-10-07
447,2023-04-01,Basic,Organic,2023-04-06
448,2024-03-01,Enterprise,Referral,2024-03-28
449,2023-11-01,Pro,Referral,2023-11-18
450,2024-06-01,Basic,Organic,2024-06-06
451,2023-06-01,Pro,Paid,2023-06-04
452,2023-07-01,Pro,Organic,2023-07-16
453,2023-01-01,Basic,Paid,2023-01-15
454,2024-06-01,Basic,Referral,2024-06-03
455,2023-10-01,Basic,Referral,2023-10-16
456,2024-05-01,Basic,Paid,2024-05-19
457,2023-03-01,Basic,Paid,2023-03-03
458,2024-03-01,Basic,Paid,2024-03-05
459,2024-06-01,Pro,Organic,2024-06-05
460,2024-02-01,Pro,Referral,2024-02-27
461,2023-04-01,Pro,Paid,2023-04-06
462,2023-11-01,Enterprise,Organic,2023-11-17
463,2023-10-01,Pro,Organic,2023-10-21
464,2024-06-01,Basic,Paid,2024-06-20
465,2024-06-01,Basic,Paid,2024-06-19
466,2023-05-01,Basic,Paid,2023-05-29
467,2023-11-01,Pro,Paid,2023-11-27
468,2023-01-01,Basic,Social,2023-01-25
469,2023-09-01,Pro,Referral,2023-09-14
470,2023-01-01,Basic,Paid,2023-01-10
471,2023-10-01,Basic,Referral,2023-10-22
472,2024-01-01,Basic,Organic,2024-01-02
473,2023-06-01,Basic,Paid,2023-06-07
474,2023-11-01,Pro,Paid,2023-11-23
475,2023-11-01,Pro,Referral,2023-11-13
476,2023-05-01,Pro,Paid,2023-05-04
477,2023-11-01,Basic,Organic,2023-11-15
478,2023-08-01,Basic,Organic,2023-08-13
479,2024-02-01,Basic,Referral,2024-02-06
480,2023-11-01,Enterprise,Referral,2023-11-07
481,2023-06-01,Basic,Paid,2023-06-16
482,2023-10-01,Basic,Organic,2023-10-13
483,2024-05-01,Basic,Organic,2024-05-19
484,2023-12-01,Basic,Organic,2023-12-20
485,2024-04-01,Basic,Organic,2024-04-04
486,2024-02-01,Basic,Organic,2024-02-12
487,2024-01-01,Basic,Paid,2024-01-19
488,2024-06-01,Basic,Paid,2024-06-03
489,2024-01-01,Pro,Referral,2024-01-09
490,2023-04-01,Basic,Organic,2023-04-12
491,2023-11-01,Pro,Paid,2023-11-05
492,2023-07-01,Pro,Paid,2023-07-02
493,2023-02-01,Basic,Referral,2023-02-26
494,2024-04-01,Pro,Organic,2024-04-29
495,2024-05-01,Basic,Social,2024-05-11
496,2023-06-01,Basic,Paid,2023-06-27
497,2023-10-01,Pro,Paid,2023-10-17
498,2024-06-01,Basic,Paid,2024-06-16
499,2023-01-01,Basic,Paid,2023-01-14
500,2023-10-01,Pro,Referral,2023-10-23
501,2023-01-01,Pro,Organic,2023-01-21
502,2023-08-01,Pro,Paid,2023-08-06
503,2024-05-01,Pro,Paid,2024-05-27
504,2024-01-01,Basic,Paid,2024-01-02
505,2023-04-01,Basic,Paid,2023-04-14
506,2023-05-01,Basic,Organic,2023-05-17
507,2024-04-01,Enterprise,Referral,2024-04-02
508,2023-05-01,Pro,Paid,2023-05-22
509,2024-04-01,Pro,Paid,2024-04-06
510,2024-03-01,Enterprise,Paid,2024-03-12
511,2023-09-01,Pro,Organic,2023-09-08
512,2023-09-01,Pro,Organic,2023-09-10
513,2023-10-01,Pro,Paid,2023-10-16
514,2023-11-01,Basic,Paid,2023-11-26
515,2023-09-01,Basic,Paid,2023-09-18
516,2024-01-01,Enterprise,Paid,2024-01-12
517,2023-05-01,Basic,Organic,2023-05-23
518,2023-03-01,Basic,Paid,2023-03-09
519,2024-04-01,Basic,Referral,2024-04-09
520,2024-06-01,Pro,Organic,2024-06-20
521,2023-08-01,Basic,Paid,2023-08-17
522,2023-08-01,Pro,Organic,2023-08-14
523,2023-11-01,Pro,Organic,2023-11-25
524,2023-05-01,Basic,Paid,2023-05-06
525,2024-02-01,Pro,Referral,2024-02-16
526,2024-04-01,Pro,Referral,2024-04-10
527,2023-11-01,Basic,Organic,2023-11-25
528,2023-03-01,Pro,Organic,2023-03-24
529,2023-02-01,Enterprise,Organic,2023-03-01
530,2023-06-01,Enterprise,Organic,2023-06-27
531,2024-01-01,Pro,Organic,2024-01-24
532,2023-10-01,Enterprise,Organic,2023-10-19
533,2023-04-01,Enterprise,Paid,2023-04-15
534,2024-06-01,Pro,Referral,2024-06-05
535,2024-05-01,Basic,Organic,2024-05-04
536,2023-11-01,Basic,Paid,2023-11-09
537,2023-06-01,Basic,Paid,2023-06-10
538,2023-07-01,Basic,Referral,2023-07-29
539,2024-01-01,Pro,Paid,2024-01-03
540,2024-01-01,Pro,Organic,2024-01-05
541,2024-04-01,Basic,Organic,2024-04-09
542,2024-01-01,Basic,Referral,2024-01-11
543,2023-10-01,Pro,Paid,2023-10-09
544,2023-12-01,Pro,Organic,2023-12-04
545,2024-03-01,Basic,Paid,2024-03-17
546,2023-10-01,Pro,Paid,2023-10-10
547,2023-12-01,Pro,Organic,2023-12-05
548,2024-04-01,Basic,Referral,2024-04-20
549,2023-12-01,Basic,Paid,2023-12-16
550,2024-06-01,Pro,Referral,2024-06-25
551,2023-08-01,Pro,Paid,2023-08-26
552,2023-03-01,Pro,Paid,2023-03-12
553,2023-03-01,Enterprise,Organic,2023-03-27
554,2024-06-01,Enterprise,Organic,2024-06-18
555,2023-05-01,Basic,Referral,2023-05-15
556,2023-04-01,Pro,Referral,2023-04-16
557,2023-03-01,Enterprise,Paid,2023-03-02
558,2024-03-01,Basic,Paid,2024-03-19
559,2023-02-01,Pro,Paid,2023-02-10
560,2023-01-01,Basic,Referral,2023-01-24
561,2023-07-01,Pro,Organic,2023-07-12
562,2023-03-01,Pro,Organic,2023-03-29
563,2023-03-01,Enterprise,Paid,2023-03-10
564,2024-02-01,Basic,Organic,2024-02-21
565,2024-02-01,Basic,Referral,2024-02-15
566,2024-01-01,Basic,Paid,2024-01-22
567,2024-06-01,Basic,Referral,2024-06-04
568,2023-06-01,Enterprise,Paid,2023-06-05
569,2023-08-01,Pro,Referral,2023-08-10
570,2024-03-01,Pro,Paid,2024-03-18
571,2024-01-01,Pro,Organic,2024-01-12
572,2023-05-01,Basic,Social,2023-05-24
573,2023-04-01,Basic,Paid,2023-04-20
574,2023-01-01,Basic,Organic,2023-01-20
575,2023-02-01,Basic,Paid,2023-02-28
576,2023-02-01,Basic,Organic,2023-02-15
